City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,hargeysa,9.56,44.065,286.24,83,96,4.23,SO,03-02-2025
327,penzance,50.1186,-5.5371,283.53,76,100,8.89,GB,03-02-2025
328,fada,7.25,4.0667,303.35,54,58,2.83,NG,03-02-2025
329,nicoya,10.1483,-85.452,307.1,35,1,6.68,CR,03-02-2025
330,tabarka,36.9544,8.758,286.51,82,40,3.09,TN,03-02-2025
331,liwale,-9.7667,37.9333,295.05,96,64,1.35,TZ,03-02-2025
332,marat,25.0701,45.4615,286.93,19,8,2.56,SA,03-02-2025
333,sabang,5.8933,95.3214,300.49,73,100,2.78,ID,04-02-2025
334,fort irwin,35.2627,-116.6848,287.89,44,0,0.0,US,03-02-2025
335,hilo,19.7297,-155.09,295.99,79,0,0.89,US,03-02-2025
336,sosnovka,56.255,51.2842,270.4,95,100,3.76,RU,03-02-2025
337,qarazhal,48.0078,70.7903,262.45,83,5,4.58,KZ,03-02-2025
338,colonial heights,37.268,-77.4073,293.41,43,0,3.6,US,03-02-2025
339,aasiaat,68.7098,-52.8699,254.45,93,100,2.26,GL,03-02-2025
340,benisheikh,11.8072,12.4909,297.95,17,96,4.42,NG,03-02-2025
341,labuan,5.2767,115.2417,298.35,94,40,0.0,MY,04-02-2025
342,lukolela,-1.0605,17.1821,297.13,81,100,0.59,CD,03-02-2025
343,machico,32.7,-16.7667,290.77,74,75,6.17,PT,03-02-2025
344,upington,-28.4478,21.2561,303.86,14,0,3.65,ZA,03-02-2025
